judul,isi,tanggal,link
Bulan ini KPU coklit terbatas di Kendari,ANTARA - KPU Kota kendari akan melakukan Pencocokan dan Penelitian yang biasa disebut Coklit kepada 8.000 calon pemilih ...,11 November 2018,https://www.antaranews.com/video/767167/bulan-ini-kpu-coklit-terbatas-di-kendari
29 Calon DPD DKI lanjut proses verifikasi faktual,Komisi Pemilihan Umum Provinsi DKI Jakarta menyerahkan berita acara hasil penelitian administrasi perbaikan kepada ...,31 Mei 2018,https://www.antaranews.com/video/714959/29-calon-dpd-dki-lanjut-proses-verifikasi-faktual
KPU tetapkan 14 Parpol peserta Pemilu 2019,"Komisi Pemilihan Umum, KPU, menetapkan 14 partai politik memenuhi syarat sebagai peserta pemilu 2019. Penetapan peserta ...",18 Februari 2018,https://www.antaranews.com/video/686599/kpu-tetapkan-14-parpol-peserta-pemilu-2019
KPU Jabar nyatakan 12 Parpol lolos verifikasi faktual,"Komisi Pemilihan Umum, KPU, Provinsi Jawa Barat, menyerahkan berita acara hasil verifikasi faktual di Aula Setia ...",1 Februari 2018,https://www.antaranews.com/video/682513/kpu-jabar-nyatakan-12-parpol-lolos-verifikasi-faktual
KPU verifikasi faktual syarat administrasi paslon Gubernur,"Komisi Pemilihan Umum Sulawesi Tenggara, mulai memverifikasi faktual berkas syarat administrasi pasangan bakal calon ...",31 Januari 2018,https://www.antaranews.com/video/682092/kpu-verifikasi-faktual-syarat-administrasi-paslon-gubernur
PPP lolos verifikasi faktual,"  Dewan Pimpinan Pusat Partai Persatuan Pembangunan lolos tahapan verifikasi factual. Komisi Pemilihan Umum, KPU ...",30 Januari 2018,https://www.antaranews.com/video/681661/ppp-lolos-verifikasi-faktual
Verifikasi parpol tingkat DPW dan DPC,  Tahapan verifikasi faktual terhadap 12 partai politik di tingkat pusat telah selesai dilaksanakan KPU.  ...,30 Januari 2018,https://www.antaranews.com/video/681603/verifikasi-parpol-tingkat-dpw-dan-dpc
KPU memulai proses verifikasi faktual,"KPU memulai proses verifikasi faktual partai politik yang akan berlaga dalam Pemilu 2019 mendatang. di hari pertamanya, ...",29 Januari 2018,https://www.antaranews.com/video/681327/kpu-memulai-proses-verifikasi-faktual
KPU siap laksanakan verifikasi parpol,"Komisi Pemilihan Umum, KPU, telah menetapkan tim verifikator untuk melaksanakan tahapan verifikasi faktual parpol calon ...",27 Januari 2018,https://www.antaranews.com/video/681014/kpu-siap-laksanakan-verifikasi-parpol
Kemendagri akomodasi verifikasi faktual parpol,Pemerintah melalui Kementerian Dalam Negeri akan mengakomodasi verifikasi faktual Parpol yang akan dilakukan komisi ...,20 Januari 2018,https://www.antaranews.com/video/679173/kemendagri-akomodasi-verifikasi-faktual-parpol
