Title,Text,Date,Link,Category
"Bekal ""Strategic Foresight"" untuk Para Capres","Pandangan jauh ke depan (foresight) perlu dimiliki oleh para Capres-Cawapres, karena bangsa kita berada pada situasi dunia yang semakin rentan dan kompleks.","detikNewsKamis, 02 Nov 2023 11:15 WIB",https://news.detik.com/kolom/d-7013788/bekal-strategic-foresight-untuk-para-capres,Politik
Mendag Zulhas Jelaskan Pengaruh Geopolitik Terhadap Perdagangan RI,Menteri Perdagangan RI Zulkifli Hasan menjadi pembicara di acara Simposium Kementerian Pertahanan Tahun 2023.,"detikFinanceKamis, 02 Nov 2023 11:15 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-7015100/mendag-zulhas-jelaskan-pengaruh-geopolitik-terhadap-perdagangan-ri,Politik
Kapan Pengumuman TKN Prabowo-Gibran? Ini Jawaban Gerindra,Ketua Harian Partai Gerindra Dasco mengatakan TKN Prabowo-Gibran akan diumumkan Kamis depan. Dia menyebut pengumuman akan dilaksanakan secara keseluruhan.,"detikNewsKamis, 02 Nov 2023 11:11 WIB",https://news.detik.com/berita/d-7015092/kapan-pengumuman-tkn-prabowo-gibran-ini-jawaban-gerindra,Politik
Relawan Pengusaha Muda Dorong Ekonomi Indonesia Berdaya Saing Global,"Relawan Pengusaha Muda Nasional (REPNAS) Indonesia Maju sukses menggelar rapat konsolidasi di Hotel Ambhara, Jakarta Selatan.","detikNewsKamis, 02 Nov 2023 11:04 WIB",https://news.detik.com/berita/d-7015074/relawan-pengusaha-muda-dorong-ekonomi-indonesia-berdaya-saing-global,Politik
Panda Nababan Sentil Gibran yang Mudah Berkhianat dan Berbohong,Politikus Senior PDI Perjuangan Panda Nababan tak menyangka Gibran Rakabuming Raka mudah berbohong. Ia tak membayangkan Gibran akan berkhianat ke PDIP.,"detikSumbagselKamis, 02 Nov 2023 10:25 WIB",https://www.detik.com/sumbagsel/berita/d-7014941/panda-nababan-sentil-gibran-yang-mudah-berkhianat-dan-berbohong,Politik
"Partai Garuda: Kasihan Jokowi, Bersikap Netral Pun Dicaci Maki",Partai Garuda menyebut banyak fitnah yang ditujukan kepada Presiden Joko Widodo (Jokowi) saat ini.,"detikNewsKamis, 02 Nov 2023 10:22 WIB",https://news.detik.com/pemilu/d-7014992/partai-garuda-kasihan-jokowi-bersikap-netral-pun-dicaci-maki,Politik
Nusron Bantah Jokowi-Gibran Berkhianat: Lebih Mementingkan Kehendak Rakyat,Nusron menyebut yang dilakukan Jokowi dan Gibran hari ini hanya untuk kepentingan rakyat. Dia memastikan tak ada pengkhianatan terjadi.,"detikSumutKamis, 02 Nov 2023 10:17 WIB",https://www.detik.com/sumut/berita/d-7014971/nusron-bantah-jokowi-gibran-berkhianat-lebih-mementingkan-kehendak-rakyat,Politik
Nusron Wahid Kritik Hakim Konstitusi Bicara Prahara MK: Etikanya di Mana?,Politikus Golkar Nusron Wahid mengkritik pernyataan hakim MK Arief Hidayat soal ada prahara di MK setelah keluar keputusan batas usia capres-cawapres.,"detikNewsKamis, 02 Nov 2023 09:52 WIB",https://news.detik.com/pemilu/d-7014942/nusron-wahid-kritik-hakim-konstitusi-bicara-prahara-mk-etikanya-di-mana,Politik
Jawaban Ketus Romario Soal Rumor Ancelotti Latih Brasil,Romario menolak rumor penunjukan Carlo Ancelotti sebagai pelatih Timnas Brasil. Legenda Selecao itu ingin agar Fernando Diniz diberi kontrak lebih panjang.,"SepakbolaKamis, 02 Nov 2023 09:41 WIB",https://sport.detik.com/sepakbola/bola-dunia/d-7014929/jawaban-ketus-romario-soal-rumor-ancelotti-latih-brasil,Politik
"Nusron: Jokowi dan Gibran Tak Berkhianat, tapi Lebih Mementingkan Rakyat",Jokowi dan anak sulungnya Gibran dianggap tidak berkhianat kepada siapa pun. Golkar menyebut mereka mengutamakan kepentingan rakyat.,"detikNewsKamis, 02 Nov 2023 09:38 WIB",https://news.detik.com/pemilu/d-7014921/nusron-jokowi-dan-gibran-tak-berkhianat-tapi-lebih-mementingkan-rakyat,Politik
"Ganjar Ajak Mahasiswa Terjun ke Politik, Bicara Etika-Moral",Ganjar Pranowo bertemu sejumlah mahasiswa dan BEM se-Bali. Ganjar mengajak para mahasiswa terjun ke politik agar bisa paham mana yang baik dan mana yang buruk.,"detikNewsKamis, 02 Nov 2023 09:32 WIB",https://news.detik.com/detiktv/d-7014907/ganjar-ajak-mahasiswa-terjun-ke-politik-bicara-etika-moral,Politik
Heboh Ketua DPAC PKB Dipecat karena Dukung-Pasang Baliho Gibran,"Ketua DPAC PKB Kecamatan Muntilan, Magelang, Ambar Purwoko dipecat partai. Ambar dipecat PKB karena mendukung dan memasang baliho Gibran Rakabuming.","detikBaliKamis, 02 Nov 2023 09:31 WIB",https://www.detik.com/bali/berita/d-7014904/heboh-ketua-dpac-pkb-dipecat-karena-dukung-pasang-baliho-gibran,Politik
"Hasto Bicara Kartu Truf, Nusron Ungkit PPP Ganti Ketum Lalu Dukung Ganjar",Sekjen PDIP Hasto bicara soal kartu truf Ketum partai sehingga mendukung Gibran jadi bacawapres. Politikus Golkar bantah dan bicara soal pergantian Ketum PPP.,"detikNewsKamis, 02 Nov 2023 09:23 WIB",https://news.detik.com/pemilu/d-7014899/hasto-bicara-kartu-truf-nusron-ungkit-ppp-ganti-ketum-lalu-dukung-ganjar,Politik
3 Poin Pernyataan Jokowi soal Baliho Ganjar-Mahfud Dicopot di Bali,Presiden Joko Widodo (Jokowi) menyampaikan tanggapan soal baliho pasangan capres-cawapres Ganjar Pranowo-Mahfud Md dicopot menjelang kedatangannya.,"detikNewsKamis, 02 Nov 2023 08:54 WIB",https://news.detik.com/pemilu/d-7014861/3-poin-pernyataan-jokowi-soal-baliho-ganjar-mahfud-dicopot-di-bali,Politik
Balasan Golkar soal Gibran Usai PDIP Singgung Narasi 'Dizalimi',PDIP bicara potensi muncul narasi 'saya dizalimi' jika memecat Gibran Rakabuming dari keanggotaan. Golkar lantas memberikan balasan menohok ke PDIP.,"detikNewsKamis, 02 Nov 2023 08:40 WIB",https://news.detik.com/pemilu/d-7014852/balasan-golkar-soal-gibran-usai-pdip-singgung-narasi-dizalimi,Politik
Nusron: Pak Jokowi Lebih Mengutamakan Rakyat daripada Elite Partai,Sekjen PDIP sempat melontarkan pernyataan ditinggalkan Jokowi dan keluarga. Nusron Wahid menyampaikan Jokowi lebih memilih rakyat dibanding elite partai.,"detikNewsKamis, 02 Nov 2023 08:37 WIB",https://news.detik.com/pemilu/d-7014849/nusron-pak-jokowi-lebih-mengutamakan-rakyat-daripada-elite-partai,Politik
Kenapa Banyak Buruh Thailand Jadi Korban Serangan Hamas di Israel?,"Selain puluhan yang tewas, diperkirakan masih ada puluhan buruh migran asal Thailand yang disandera Hamas di Jalur Gaza.","detikNewsKamis, 02 Nov 2023 08:33 WIB",https://news.detik.com/dw/d-7014845/kenapa-banyak-buruh-thailand-jadi-korban-serangan-hamas-di-israel,Politik
Debat Panas Panda Nababan dan Nusron Wahid soal Petugas Partai,"Politikus senior PDIP, Panda Nababan, berdebat panas dengan politikus Golkar, Nusron Wahid, soal istilah petugas partai. Bagaimana perdebatan mereka?","detikNewsKamis, 02 Nov 2023 08:29 WIB",https://news.detik.com/pemilu/d-7014841/debat-panas-panda-nababan-dan-nusron-wahid-soal-petugas-partai,Politik
