judul,isi,tanggal,link
Video Pria Menginjak Al-Qur’an di Klub Malam Arab Saudi				,"Lokasi kejadian bukan di Arab Saudi, tetapi Manchester (Inggris).","November 15, 2024",https://turnbackhoax.id/2024/11/15/salah-video-pria-menginjak-al-quran-di-klub-malam-arab-saudi/
"Tentara AS Mendarat di Israel, Bersiap Lawan Hamas dan Hizbullah				","Faktanya, konteks asli video adalah dokumentasi kedatangan tentara AS di Mihail Kogalniceanu, Rumania, pada Juni 2022.","November 15, 2024",https://turnbackhoax.id/2024/11/15/salah-tentara-as-mendarat-di-israel-bersiap-lawan-hamas-dan-hizbullah/
Detik.com Beritakan “Pernyataan Jokowi yang Tidak Sengaja Terekam Kamera”				,"TurnBackHoax memeriksa keaslian foto tangkapan layar yang mencatut Detikcom. Hasilnya, potret itu memiliki probabilitas 94,2% sebagai rekayasa AI.","November 15, 2024",https://turnbackhoax.id/2024/11/15/salah-detik-com-beritakan-pernyataan-jokowi-yang-tidak-sengaja-terekam-kamera/
Budi Arie Dikuliti Prabowo karena Terbukti Bekingi Judi Online				,"Faktanya, tidak ada sumber kredibel yang membenarkan Budi Arie dikuliti Prabowo karena terbukti bekingi judi online.","November 15, 2024",https://turnbackhoax.id/2024/11/15/salah-budi-arie-dikuliti-prabowo-karena-terbukti-bekingi-judi-online/
Anies Bongkar Misi Busuk Prabowo Usai Tom Lembong Ditangkap				,"Faktanya, tidak ada sumber kredibel yang membenarkan Anies membongkar misi busuk Prabowo setelah Tom Lembong ditangkap.","November 15, 2024",https://turnbackhoax.id/2024/11/15/salah-anies-bongkar-misi-busuk-prabowo-usai-tom-lembong-ditangkap/
Anies Baswedan Ditangkap KPK Akibat Proyek Formula E				,"Unggahan merupakan potongan dokumentasi petugas Bareskrim Polri yang mengamankan barang bukti penangkapan 12 tersangka judi online pada Sabtu, (02/11/2024).","November 15, 2024",https://turnbackhoax.id/2024/11/15/salah-anies-baswedan-ditangkap-kpk-akibat-proyek-formula-e/
"PT Pelindo Buka Rekrutmen, Tawarkan Gaji Puluhan Juta Rupiah				",Unggahan berisi klaim “Rekrutmen PT Pelindo dengan gaji 12-20 juta rupiah” merupakan konten tiruan (impostor content) dan modus penipuan.,"November 15, 2024",https://turnbackhoax.id/2024/11/15/penipuan-pt-pelindo-buka-rekrutmen-tawarkan-gaji-puluhan-juta-rupiah/
Calon Bupati Pemalang Vicky Prasetyo Bagikan Bantuan di TikTok				,Audio dalam unggahan yang beredar merupakan rekayasa AI.,"November 15, 2024",https://turnbackhoax.id/2024/11/15/penipuan-calon-bupati-pemalang-vicky-prasetyo-bagikan-bantuan-di-tiktok/
Video Ledakan Dahsyat di Teheran				,"Video yang tersebar adalah potongan dokumentasi ledakan di Beirut, Lebanon tahun 2020.","November 14, 2024",https://turnbackhoax.id/2024/11/14/salah-video-ledakan-dahsyat-di-teheran/
Prabowo Bakal Penjarakan Anggota DPR yang Tolak RUU Perampasan Aset				,Presiden Prabowo hanya meminta Kementerian Hukum mengulas ulang RUU Perampasan Aset.,"November 14, 2024",https://turnbackhoax.id/2024/11/14/salah-prabowo-bakal-penjarakan-anggota-dpr-yang-tolak-ruu-perampasan-aset/
Momentum Politik Baru di 2024 Usai Megawati dan Prabowo Bertemu				,"Video pertemuan Megawati dan Prabowo itu bukan terjadi pada 2024, melainkan 2019. ","November 14, 2024",https://turnbackhoax.id/2024/11/14/salah-momentum-politik-baru-di-2024-usai-megawati-dan-prabowo-bertemu/
Jokowi Terseret Kasus Tom Lembong				,Tidak ada sumber kredibel yang membenarkan klaim tentang Jokowi terseret kasus Tom Lembong.,"November 14, 2024",https://turnbackhoax.id/2024/11/14/salah-jokowi-terseret-kasus-tom-lembong/
