berita,label
independensi hakim disorot putusan mk batas usia capres cawapres,0
"bantu ekonomi rakyat, raffi ahmad buka situs judi",1
ombudsman panggil bey machmudin insiden relawan anies gim,0
perundungan perbaikan kurikulum merdeka,0
"jokowi temui pangeran arab saudi, teken kerja jaminan produk halal",0
ketua komisi i buka rdpu visi misi calon panglima tni terbuka,0
"dijamin puas ngetes motor baru, area test ride imos luasnya 1.100 meter persegi",0
oreo mengandung babi kutu babi,1
golang? pengertian fungsinya,0
unggahan rans entertainment berbagi rezeki menjelang batik nasional 2 oktober,1
kpu denpasar berharap calon tunggal pilkada 2020,0
isi penuh bbm bikin mobil rusak,1
undian berhadiah mengatasnamakan bank bpd nagari,1
menpora tanda tangan mou olahraga arab saudi,0
dukungan politik partai solidaritas indonesia mengarah ganjar-yasin,0
ketua mkmk masinton pdip usul hak angket dpr mk,0
"jurnalis dilarang investigasi takut terbongkar hasil pemilu sebenarnya, “prabowo 23,69%”",1
"seragam sekolah sd,smp, sma indonesia diganti lebaran",1
"jogetin rumor stroke, gerindra jatim tegaskan prabowo sehat tempur",0
"gempa bumi berkekuatan magnitude 9,6 guncang bengkulu 7 maret 2024",1
video umat kristen katolik aksi turun jalan bentuk respons pembukaan olimpiade lecehkan yesus,1
"bencana kelaparan yahukimo, menko muhadjir terbang papua",0
20 persen tanah indonesia berhasil dimiliki rohingya,1
"ruben onsu kuis tebak kata, total hadiah rp270 juta",1
wawalkot pasuruan ajak warga wujudkan pemilu 2024 sukses damai,0
hotman paris bantu lunasi hutang facebook,1
pipa laut kilang balikpapan digarap,0
"ancaman hoax deepfake ai nan canggih, jokowi korbannya",0
pemkab bombana buka program beasiswa pt indonesia,0
bali mendadak hancur akibat badai mengerikan,1
mengkonsumsi kuaci mengurangi kontraksi,1
"sidang mk panas, ketua kpu dicecar hakim kuasa hukum penggugat",1
ahli farmasi menempatkan bahan penyebab kanker vaksin covid-19,1
pembayaran bpjs berdasarkan gaji,1
akun facebook mengatasnamakan nagita menjual motor seharga 600 ribu,1
tinggal jakarta! rumah clubhouse termewah,0
akun tiruan facebook pj bupati tanggamus mulyadi irsan,1
anggota dpr usulkan perppu verifikasi faktual parpol,0
geliat kota pelajar pemicu menjamurnya bioskop jogja,0
relokasi 3 sd pandeglang terdampak proyek tol serang-panimbang terkendala,0
foto prabowo subianto titiek soeharto kereta cepat,1
heru budi: fifa cek kesiapan jis venue piala dunia u-17,0
mahasiswa berhasil masuk gedung dpr ri,1
sederet keunikan deli serdang,0
video kendaraan kremasi keliling cina,1
pratama arhan bermain laga kualifikasi piala dunia perselingkuhan istrinya,1
bledug muncul bencana gempa jatim banjir demak,1
megawati hangestri bongkar bobrok pbvsi presiden jokowi turun tangan,1
materai tempel pendaftaran cpns ditulis tanggal 5 september menghindari tms,1
kemarin serah terima jabatan panglima jokowi serahkan bansos,0
ulat bulu amerika membunuh 16 anak,1
kpu terima pendaftaran gibran terima surat jokowi,1
cina pindahkan warganya indonesia,1
jokowi pembagunan 320.000 km jalan desa pengusaha china,0
prabowo tangkap kaesang & bobby akibat korupsi,1
lirik lagu bangun pemudi pemuda notasi angkanya karya alfred simanjuntak,0
bambang pamungkas bongkar skenario busuk hancurkan timnas indonesia,1
"cawapres prabowo, pdip gibran membangkang",0
ratusan rumah hancur akibat angin tornado bangka belitung,1
lowongan kerja bumn pt surveyor indonesia (besar-besaran),1
verifikasi faktual golkar sulsel,0
"anies: negara milik rakyat indonesia, keluarga",0
jokowi resmikan tni bantu kapolri bongkar vina bandar sabu,1
permainan puzzle atasi mental anak? inovasi mahasiswa ugm,0
video gunung aktif anak krakatau erupsi,1
"hakim sidang sengketa pilpres membacakan hasil putusan sidang, mengabulkan paslon 02 didiskualifikasi",1
adu perspektif: tegang gibran melenggang,0
gerindra sulsel lirik amran sulaiman ketua tim kampanye prabowo-gibran,0
video serangan iran tel aviv,1
“𝙋𝙍𝙊𝙂𝙍𝘼𝙈 𝙋𝙍𝙊𝙈𝙊 2024″ 𝙆𝙝𝙪𝙨𝙪𝙨 𝙎𝙚𝙡𝙪𝙧𝙪𝙝 𝙉𝙖𝙨𝙖𝙗𝙖𝙝 𝘽𝘼𝙉𝙆 𝙅𝘼𝙒𝘼 𝙏𝙄𝙈𝙐𝙍”,1
kandasnya calon perseorangan pilkada sumbar,0
"dituntut 15 penjara, johnny g plate ngotot bersalah",0
kpu sumbar: pasangan perseorangan lolos verifikasi faktual,0
parpol dukung hidayat-bartolomeus maju pilkada sulteng,0
poster lowongan kerja pt samudera perdana selaras,1
pejabat 11 skpd makassar terancam dicopot buntut realisasi apbd rendah,0
paslon pilkada malang beradu program debat publik,0
jakarta jebol! banjir sapu jabodetabek bandung,1
ribuan rumah bogor ludes akibat angin kencang 18 april 2024,1
akun facebook pj bupati ntb “lalu gita aryadi”,1
"impor beras 2022-2024, prabowo indonesia swasembada beras",1
raffi ahmad bandar judi online,1
gaza 'neraka stalingrad' israel,0
video anies berbicara video surya paloh mengkonfirmasi batalnya usungan nasdem pilgub jakarta,1
sandra dewi resmi tersangka penambangan timah ilegal,1
info lowongan kerja puskesmas pekalongan selatan,1
direktur ham pbb mundur gagal cegah genosida palestina,0
"nasa bangun pemukiman bulan, beli rumah sana?",0
lowongan pekerjaan pt nuartha global indonesia (nuartha tours & travel),1
akun whatsapp kepala dinas pupr kab muba alva elan,1
pesan berantai whatsapp “dukungan shaquille o’neal hizbullah”,1
prabowo membagikan 50 juta keluarga follow tiktoknya,1
"barcelona diterpa badai cedera, larang pemainnya main basket",0
kapolda jabar ajak ulama bantu jaga keamanan jelang pemilu,0
"timnas uzbekistan resmi blacklist fifa, ketahuan menghirup doping",1
deep nilai putusan pn jakpus melawan konstitusi,0
mahfud md tanggapi putusan mk-wacana hak angket dpr diskusi makassar,0
potongan video puan prabowo mengabaikan jokowi,1
bos pabrik pembuat iphone terancam senasib jack ma,0
gibran bedakan takbir adzan,1
rafael alun korupsi gratifikasi senilai 3000t diduga mengalir 25 artis,1
alasan rumah arab dibangun genteng,0
pinjaman kur mandiri nomor whatsapp tiktok,1
"bawaslu jayawijaya ingatkan parpol ""colong start""",0
"hidup capek-capeknya, eh museum patah hati bandung",0
puluhan rumah korban bencana badai seroja kupang dibangun,0
video “moment ronaldo fasih berbahasa arab”,1
video wakil partai anggota dewan provokasi siswa ajak turunkan jokowi februari 2024,1
selamatkah pemanasan global?,0
akun tiktok @baimwong.0ficiall berisi konten giveaway,1
warga diajak sukseskan verifikasi faktual calon independen,0
"nggak area main badminton, lobi wtc mangga dipakai apa?",0
pj bupati lampung barat bagikan donasi masjid whatsapp,1
peserta demo 1 maret 2024 didatangi aparat,1
"kisah babon aniem, saksi bisu masuknya jaringan listrik jogja",0
bawaslu purworejo buka posko aduan pengawasan coklit data pemilih,0
deddy corbuzier pernyataan korupsi membungkam sandra dewi,1
lakukan 5 sehat cuaca panas,0
jemaah thoriqoh syathoriyah dukung prabowo anies,0
asa pemprov sulsel menangkan gugatan sengketa lahan stadion mattoanging,0
situs judi online raffi ahmad,1
"mobil udah biasa, subaru pamer 'pesawat' japan mobility show 2023",0
program undian bjb spesial hut ri disponsori ridwan kamil ruzhanul ulum,1
"rakyat miskin, rezim jokowi ekspor beras china 2,5 juta ton",1
band asap distop paksa pemerintah menyanyikan lagu lirik keras,1
"bank bukopin, panin, btn, danamon, cimb niaga ditutup",1
jokowi kaesang dipecat pdip,1
"unggas mati akibat suhu mencapai -52 derajat celcius xinjiang, cina",1
video “iptu rudiana 5 mobil sport rumah mewah hasil jual barang haram”,1
huawei patenkan pendeteksi demam perangkat wearable,0
70 preman anak buah jokowi diringkus,1
6 kebiasaan menyebabkan stroke,1
postingan facebook lowongan kerja puskesmas banyumas,1
pbb terima palestina anggota resmi,1
kpu: calon independen dukungan ktp verifikasi faktual,0
"akun whatsapp tiruan kepala sub keuangan, dinas sosial kabupaten buleleng",1
ballon d'or 2023: vinicius raih socrates award 2023,0
deteksi stroke gerakan jari,1
menpora dito maaf indonesia gagal penuhi target asian games 2023,0
pendaftaran undian gelegar rejeki bni 2024,1
video rhoma irama dennis lim mengiklankan situs judi,1
"gempa bermagnitudo 4,2 guncang tuban 15 april 2024",1
hindari pasta gigi fluoride sebabkan penurunan iq,1
ruang khusus dewa kuil romawi kuno ditemukan italia,0
video “jalan tol ikn”,1
"perbandingan foto antrean beras 1965 2024, “bedanya jalan tol guys”",1
video muslim india membakar al-quran,1
airpods apple berbahaya radiasi electromagnetic field (emf),1
"lutut bengkak jalan, asam urat dok?",0
kepercayaan mahkamah konstitusi era jokowi dinilai rusak,0
denda rp500juta mengonsumsi obat herbal menolak vaksinasi akibat perjanjian who pandemy treaty,1
pemprov jatim sukses raih 5 sertifikat cagar budaya & 12 penetapan wbtb,0
sepatu nike luncurkan sepatu motif bendera israel,1
xiaomi alibaba tanam modal startup pengembang saingan chatgpt asli china,0
bos blackberry john chen pensiun 10 menjabat,0
drone iran ditemukan jatuh tersangkut irak,1
foto tanda restoran mcdonald’s dibakar pengunjuk pro-palestina,1
ketua kpu hasyim asyari promosikan obat nyeri,1
video terowongan laut mengalami kebocoran,1
bawaslu bali ingatkan parpol cermati syarat administrasi pemilu 2024,0
"kuasai motogp, ducati gebrak segmen motocross!",0
verifikasi faktual calon panglima tni,0
“seperti indonesia dibenahi secepatnya”,1
"pemuda, politik era akselerasi",0
puan meredam isu jokowi pdip memanas,0
polda metro jaya kerahkan 1.753 personel amankan demo partai buruh,0
air rendaman sawo obati vertigo,1
gempar banjir bak tsunami hanyutkan,1
jhon lbf giveaway uang 35 juta games tebak angka,1
anies baswedan indonesia layak negara maju,1
perludem: presiden terbitkan perppu tunda pilkada,0
pisang dempet sebabkan anak lahir kondisi kembar siam,1
akun instagram palsu jhon lbf uang bantuan usaha,1
anggota kpu sulsel respons polemik hasil pleno parpol non parlemen,0
pijat kaki tekan titik telapak kaki batu sembuhkan kolesterol,1
"bank daerah geber ekonomi lingkungan pesantren,",0
daftar rumah sakit cirebon pelayanan,0
"gabung tpn ganjar-mahfud, eko sulistyo mundur komisaris pln",0
kpu: 212 daerah transfer nphd 100 persen,0
cak fauzi ajak santri pemerintah bangun & sejahterakan sumenep,0
foto penembak trump tewas,1
link pendaftaran penerima bansos pkh 2024,1
kali! ai 'baca' teks kuno era romawi gulungan papirus,0
video protes warga adat dayak kalimantan menolak ikn,1
6 contoh proposal kegiatan beserta strukturnya,0
baim giveaway motor uang 10 juta,1
11 partai politik sepakat lawan faida pilkada jember,0
joel piro pindah negara bela timnas indonesia,1
